RefDes,Part,Manufacturer,MPN,Qty,UnitCost(USD),ExtCost(USD),Notes
U1,MCU nRF52832,Nordic,nRF52832-QFAA-R,1,3.50,3.50,Sub-GHz mesh + sensor sampling
U2,Radio SX1262,Semtech,SX1262IMLDRT,1,3.20,3.20,Sub-GHz 868/915MHz
U3,UV Sensor VEML6075,Vishay,VEML6075,1,2.80,2.80,UVA + UVB separately
U4,Skin Temp TMP117,TI,TMP117AIDRVR,1,2.20,2.20,±0.1°C medical-grade
U5,Ambient/UV LTR390,Lite-On,LTR-390ALS-09,1,1.80,1.80,UV index + lux
U6,Haptic DRV2605L,TI,DRV2605L,1,1.50,1.50,LRA haptic driver
U7,LRA Haptic Motor,PCMaster,10mm LRA,1,1.20,1.20,Sunburn warning vibration
BAT1,CR2477 coin cell,Energizer,CR2477,1,2.50,2.50,3.0V 1000mAh
LED1,SMD LED 0603,Lite-On,LTST-C193,1,0.05,0.05,Pairing indicator
SW1,Tactile switch,C&K,PTS636,1,0.15,0.15,Pairing button
ANT1,Sub-GHz PCB antenna,-,-,1,0.50,0.50,868MHz trace antenna
X1,Crystal 32MHz,Abracon,ABM8-32.000MHZ,1,0.35,0.35,nRF52832
MISC,Passives+PCB+silicone band,-,-,1,2.00,2.00,R,C,MOSFET,PCB,enclosure
,,Total Qty1,,21.95,21.95,
,,Total Qty10k,,,9.00,9.00,volume pricing
