Component,Part Number,Description,Qty,Unit_Cost_USD,Total_Cost_USD,Supplier,Notes
MCU,RP2040,Dual M0+ 133MHz QFN56,1,1.20,1.20,Raspberry Pi,Weather station
Flash,W25Q16JVSIQ,2MB SOIC8,1,0.40,0.40,Winbond,RP2040 program
Radio,SX1262IMLTRT,Sub-GHz LoRa 868MHz,1,4.10,4.10,Semtech,Mesh client
Temp/RH,SHT45-AD1B,±0.2°C ±1.8%RH DFN8,1,3.50,3.50,Sensirion,Outdoor conditions
Pressure,BMP390,±0.5hPa LGA14,1,2.80,2.80,Bosch,Barometric
UV,VEML6075,UVA/UVB OPLGA4,1,2.20,2.20,ams-OSRAM,Sun exposure
Light,TSL25911FN,Ambient light DFN6,1,2.40,2.40,ams-OSRAM,Daylight
Anemometer,Cup reed switch,Wind speed,1,8.00,8.00,Davis/compat,Speed measurement
Wind Vane,Potentiometer 8-point,Direction,1,6.00,6.00,Davis/compat,Direction
Rain Gauge,Tipping bucket,0.2794mm/tip,1,12.00,12.00,Davis/compat,Precipitation
Solar Panel,5W 6V poly,180x180mm,1,5.00,5.00,Generic,Solar power
Energy Harvester,BQ25570RGRR,MPPT+charger QFN20,1,3.50,3.50,TI,Solar management
Charger,MCP73871,LiPo management QFN20,1,1.50,1.50,Microchip,Battery charging
Battery,Lipo 2000mAh 103040,3.7V,1,4.00,4.00,Generic,Energy storage
LDO,AP2112-3.3,600mA SOT23-5,1,0.40,0.40,Diodes Inc,Main rail
Antenna,868MHz chip,With matching,1,0.60,0.60,Johanson,Sub-GHz
Crystal 12MHz,ABM8-12.000MHZ,RP2040 XIN,1,0.40,0.40,Abracon,MCU clock
PCB,4-layer 100x70mm,FR4 ENIG,1,3.00,3.00,Custom,Weather board
Enclosure,IP65 Stevenson screen,ASA UV-stable 150x100x80mm,1,8.00,8.00,Custom,Weather shield
Pole Mount,U-bolt + bracket kit,Universal,1,2.00,2.00,Generic,Railing/fence mount
Passives,Assorted,R/C/connectors,1,1.50,1.50,Various,Decoupling + protection
,,Total,,74.10
