Component,Part,Qty,UnitPrice,TotalPrice,Notes
SoC Module,ESP32-C3-WROOM-02,1,2.80,2.80,Single-core RISC-V 160MHz Sub-GHz capable
Sub-GHz Radio,RFM69HCW 868MHz,1,3.50,3.50,Long-range mesh 500m LOS wall-penetrating
Ambient Sensor,BME280,1,2.50,2.50,Temp±1°C humidity±3%RH pressure
Thermal IR Array,Melexis MLX90640,1,9.50,9.50,32x24 thermal IR radiant temp mapping draft detection
Relay HVAC,SRD-5VDC-SL-C,1,0.80,0.80,5V relay for HVAC control
Relay Shade,SRD-5VDC-SL-C,1,0.80,0.80,5V relay for smart shade/curtain motor
LDO,AMS1117-3.3,1,0.20,0.20,5V to 3.3V
USB-C Connector,16-pin SMT,1,0.50,0.50,Power input
Solar Option,5V 1W mini panel,1,1.50,1.50,Wire-free solar power option
TP4056,Solar/USB charger,1,0.60,0.60,Solar + USB-C charging management
LED,SK6812 RGB,1,0.15,0.15,Status indicator
PCB,4-layer FR4 60x40mm,1,2.50,2.50,Custom PCB wall/ceiling mount
Antenna,868MHz wire antenna,1,0.30,0.30,Sub-GHz whip antenna
Capacitors/Resistors,Various SMD,1,1.20,1.20,Passive components
Enclosure,ABS 3D-printed,1,1.00,1.00,Wall/ceiling mount 60x40x20mm
Total,,,,22.50,
