Component,Part,Qty,UnitPrice,TotalPrice,Notes
SoC Module,ESP32-S3-WROOM-1-N16R8,1,4.20,4.20,16MB flash 8MB PSRAM
Sub-GHz Radio,SX1262IMLTRT,1,5.80,5.80,868MHz LoRa +22dBm
Temp/Hum/Press,BME280 Breakout,1,2.50,2.50,Ambient conditions
RTC,DS3231SN,1,2.00,2.00,Battery-backed ±2ppm
microSD Socket,Molex 503393-1892,1,0.80,0.80,Cook log buffering
TFT Display,2.4 ILI9341 320x240,1,4.50,4.50,Real-time temps display
LED Ring,WS2812B 24-LED ring,1,3.50,3.50,Doneness indicator
Gas Shutoff Relay,SRD-12VDC-SL-C,1,1.20,1.20,Propane shutoff
Motorized Ball Valve,12V DC 1/2 NPT,1,15.00,15.00,Fail-closed gas valve
Buzzer,CMT-8543S-SMT,1,0.60,0.60,Audio alerts
Status LEDs,SK6812 RGB,3,0.15,0.45,Mesh/WiFi/Cloud status
eFuse,TPS25940,1,1.80,1.80,Overcurrent protection
Buck Converter,MP1584EN,1,1.00,1.00,12V to 3.3V
LDO,AMS1117-3.3,1,0.20,0.20,3.3V regulation
SMA Antenna,868MHz whip,1,2.50,2.50,Sub-GHz antenna
USB-C Connector,16-pin SMT,1,0.50,0.50,Power input
12V Barrel Jack,5.5x2.1mm,1,0.60,0.60,12V input
PCB,4-layer FR4 80x60mm,1,3.00,3.00,Custom PCB
Capacitors/Resistors,Various SMD,1,1.50,1.50,Passive components
Enclosure,ASA 3D-printed,1,4.00,4.00,Heat-resistant
Total,,,,52.45,
