Component,Part,Qty,Unit_USD,Total_USD,Notes
MCU,ESP32-S3-WROOM-1-N8R2,1,4.20,4.20,8 MB flash 2 MB PSRAM vector instructions
Camera,OV5640 AF,1,8.50,8.50,5 MP auto-focus 72 FOV DVP
ToF Array,VL53L5CX,1,9.80,9.80,8x8 64-zone ToF 4m range 15Hz
IMU,ICM-42688,1,3.50,3.50,6-axis accel+gyro head tracking
Bone Conduction Transducer,BC-10mm pair,2,6.00,12.00,Open-ear audio
Audio Amp,MAX98357A,1,1.80,1.80,I2S Class-D amplifier
I2S MEMS Mic,ICS-43434,1,2.20,2.20,Voice command input
PCB,6-layer flex-rigid,1,8.00,8.00,Glasses-form flexible PCB
Battery Charger,MCP73871,1,2.20,2.20,USB-C LiPo charging
LiPo Battery,3.7V 800 mAh,1,3.50,3.50,6-hour autonomy
3.3V Regulator,AP2112K-3.3,1,0.50,0.50,LDO
LED,SK6812 RGB,1,0.30,0.30,Status indicator
USB-C Connector,Amphenol 12401598E4#2A,1,1.50,1.50,Charging port
FPC Connectors,0.5mm pitch ×3,3,0.80,2.40,Camera+ToF+IMU flex cables
Passives,Resistors/Caps/Misc,1,4.00,4.00,Decoupling pull-ups etc
Spectacle Frame,TR90 optical frame,1,12.00,12.00,Bone conduction temple mounts
Enclosure,3D-printed PA12 nylon,1,8.00,8.00,Glasses electronics housing IP54
FPC Cables,0.5mm FPC ×3,3,1.50,4.50,Camera/ToF/IMU interconnect
Passives Misc,Ferrite beads/inductors,1,2.00,2.00,EMI suppression
Total,,,,118.50,
